id,contributions,papers,predicates,research_fields,research_problems,frequent_field_ids,frequent_field_labels,problem_labels
R139050,55,41,9,1,1,R104,Bioinformatics,Biomedical research in  Psychiatric Disorders
R28099,61,41,20,1,1,R11,Science,Stereo Vision Disparity Map Algorithms
R28889,51,41,5,1,1,R11,Science,Search-Based Software Engineering
R30476,171,41,8,1,1,R11,Science,CO2 emissions
R57101,102,35,12,1,1,R24,Ecology and Evolutionary Biology,Testing the tens rule hypothesis in invasion biology
R69680,53,34,13,1,5,R133,Artificial Intelligence,Image Recognition;Natural Language Applications;Predictive Machine Learning;Recommender Systems;Rule-based Machine Learning
R152282,38,31,12,1,1,R374,Urban Studies and Planning,E-government competence 
R161728,45,30,2,1,1,R137681,"Information Systems, Process and Knowledge Management",digital city twin
R53407,55,27,13,1,1,R24,Ecology and Evolutionary Biology,"Testing the Darwin's naturalisation hypothesis in invasion biology
"
R32189,40,26,7,1,1,R11,Science,Scheduling problems
R114155,27,25,16,1,1,R140,Software Engineering,Focus of Crowd-based Requirements Engineering
R52143,33,25,10,1,1,R24,Ecology and Evolutionary Biology,Testing the limiting similarity hypothesis in invasion biology
R137469,29,24,9,1,1,R114008,Applied Physics,Application relevant atmospheric pressure plasma jets
R28614,51,23,15,1,1,R11,Science,Embryonal sarcoma of the liver
R139190,26,22,30,1,1,R185,Plasma and Beam Physics,Diagnostics of high pressure low temperature plasmas.
R202360,23,22,10,2,2,R112117;R137678,Cryptography and Security;Security and Dependability,security of internet of medical things (IoMT);authentication of Internet of Medical Things (IoMT)
R204284,23,22,10,2,2,R112117;R137678,Cryptography and Security;Security and Dependability,security of internet of medical things (IoMT);authentication of Internet of Medical Things (IoMT)
R27835,40,22,15,1,1,R11,Science,Educational Games
R211935,23,21,87,1,0,R140,Software Engineering,
R25358,35,21,12,1,1,R11,Science,Fuzzy Service Matching
R25583,26,21,6,1,1,R11,Science,Model-driven Game Development
R147040,23,20,25,1,1,R136127,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions",Biodiversity inventories with DNA based-tools
R26352,29,20,10,1,1,R11,Science,Combined inventory management
R32541,47,20,8,1,1,R11,Science,Over-education
R155800,21,19,31,1,1,R136127,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions",Biodiversity inventories with DNA based-tools
R25857,46,19,8,1,1,R11,Science,Selective Hydrogenation over Supported Metal Catalysts
R26729,27,19,15,1,1,R11,Science,Sensor networks clustering
R29351,24,19,5,1,1,R11,Science,Enterprise resource planning
R33091,37,19,7,1,1,R11,Science,Chromosome 1 abnormalities
R34605,36,19,5,2,1,R11;R132,Science;Computer Sciences,Anonymisation in social network
R44930,31,19,15,1,1,R57,Virology,Determination of the COVID-19 basic reproduction number
R32424,27,18,7,1,1,R11,Science,Oil
R141593,18,17,13,1,1,R175,"Atomic, Molecular and Optical Physics",VUV spectroscopy in low pressure plasmas
R141783,18,17,14,1,1,R175,"Atomic, Molecular and Optical Physics",VUV spectroscopy in low pressure plasmas
R157074,20,17,31,1,1,R136127,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions",Biodiversity inventories with DNA based-tools
R193505,31,17,16,1,1,R57,Virology,What is the correlation between SARS-CoV-2 viral load and disease severity
R201972,19,17,12,1,0,R231,Computer and Systems Architecture,
R25160,19,17,10,1,1,R11,Science,In-Vehicle Light Displays
R25900,22,17,7,1,1,R11,Science,Selective Hydrogenation over Supported Metal Catalysts
R26550,45,17,3,1,1,R11,Science,Chitosan and its antimicrobial potential
R29240,22,17,12,1,1,R11,Science,Enterprise resource planning
R33953,20,17,6,2,1,R11;R132,Science;Computer Sciences,Ant Colony Optimization
R112387,19,16,12,1,1,R140,Software Engineering,User feedback classification approaches
R12251,31,16,28,1,1,R57,Virology,COVID-19 reproductive number
R142822,18,16,25,1,1,R136127,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions",Biodiversity inventories with DNA based-tools
R161729,24,16,6,1,1,R137681,"Information Systems, Process and Knowledge Management",digital city twin
R165700,21,16,72,2,15,R145261;R322,Natural Language Processing;Computational Linguistics,"Bacteria Biotope (BB) relation extraction;Seed development (SeeDev) relation extraction;Dependency structure parsing;Named Entity Recognition;Pharmacological substances, compounds and proteins named entity recognition;Capturing function changes of mutated genes in a pathogenic context;Biomolecular event extraction;Cancer genetics (CG) event extraction;Genia event extraction (GE) task;Epigenetics and Post-translational Modifications (EPI) event extraction;Infectious Diseases (ID) event extraction;Bacteria gene renaming;Bacteria genetic interaction extraction;Biomolecular pathway curation;Genic regulation network (GRN) extraction"
R25726,21,16,12,2,1,R136;R11,Graphics;Science,Data Visualization
R31669,92,16,7,1,1,R11,Science,Chemical process systems
R46296,31,16,5,1,1,R122,Chemistry,TiO2 Photocatalysis
R140347,19,15,25,1,1,R136127,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions",Biodiversity inventories with DNA based-tools
R164670,21,15,72,2,15,R145261;R322,Natural Language Processing;Computational Linguistics,"Bacteria Biotope (BB) relation extraction;Seed development (SeeDev) relation extraction;Dependency structure parsing;Named Entity Recognition;Pharmacological substances, compounds and proteins named entity recognition;Capturing function changes of mutated genes in a pathogenic context;Biomolecular event extraction;Cancer genetics (CG) event extraction;Genia event extraction (GE) task;Epigenetics and Post-translational Modifications (EPI) event extraction;Infectious Diseases (ID) event extraction;Bacteria gene renaming;Bacteria genetic interaction extraction;Biomolecular pathway curation;Genic regulation network (GRN) extraction"
R193278,18,15,7,1,1,R112130,Networking and Internet Architecture,BGP Security Solution
R211056,69,15,13,1,1,R57,Virology,What is the tropism of SARS-CoV-2
R214198,21,15,10,1,0,R112117,Cryptography and Security,
R214201,21,15,10,1,0,R112117,Cryptography and Security,
R214208,21,15,10,1,0,R112117,Cryptography and Security,
R30646,37,15,8,1,1,R11,Science,Eye localization
R141752,19,14,14,1,1,R374,Urban Studies and Planning,Smart cities
R141782,21,14,14,1,1,R374,Urban Studies and Planning,Smart cities
R163742,18,14,102,1,14,R145261,Natural Language Processing,Seed regulatory network extraction task;Bacteria biotope (BB) task;Genia event extraction (GE) task;Structural Annotation (SA) Task;Ontological Concept Recognition;Coreference Resolution;chemical and drug named entity recognition;active gene annotation for drug repurposing;RDoC construct information retrieval;Biomolecular event extraction;The Epigenetics and Post-translational Modifications (EPI) task;Infectious Diseases (ID) information extraction task;Cancer genetics (CG) event extraction;Pathway Curation (PC) task
R189691,19,14,9,1,1,R254,Materials Science and Engineering,Mechanical properties of nacre-inspired materials
R199196,19,14,9,1,1,R254,Materials Science and Engineering,Mechanical properties of nacre-inspired materials
R204005,26,14,23,1,1,R57,Virology,Do human noroviruses infect animals
R210471,14,14,8,1,1,R254,Materials Science and Engineering,Mechanical properties of nacre-inspired materials
R29080,17,14,7,1,1,R11,Science,Facial Landmark Detection
R30512,17,14,8,1,1,R11,Science,Physical activity coaching systems
R34099,50,14,7,1,1,R11,Science,Salinity markers
R34183,32,14,9,1,1,R11,Science,Genetically Modified Crops
R6947,16,14,8,1,1,R133,Artificial Intelligence,Automatic text summarization
R141425,18,13,5,1,1,R67,Medicinal Chemistry and Pharmaceutics,The role of nanotechnology in COVID-19 outbreak
R145685,19,13,8,1,1,R185,Plasma and Beam Physics,Spectral lines broadening in plasmas
R162329,17,13,13,1,1,R114008,Applied Physics,X-ray laser advances and applications
R25999,18,13,8,1,1,R11,Science,Document Structure Analysis Algorithms
R26654,14,13,11,1,1,R11,Science,Sensor networks clustering
R31725,17,13,25,1,1,R11,Science,Design Patterns for Software Quality
R33008,18,13,7,1,1,R11,Science,Chromosome 1 abnormalities
R140348,15,12,23,1,12,R112125,Machine Learning,Knowledge Graph Embeddings;Multi-relational Representation Learning;Knowledge Graph Completion;Knowledge Graph Embedding;Ontology Embedding;Ontology Population;Representation Learning on Biomedical Data;Ontology knowledge injection;Answering First-Order Logic Queries;Multi-hop Question Answering;Graph Representation Learning;Learning Network Representations
R146851,32,12,53,1,1,R278,Information Science,Design and implementation of epidemiological surveillance systems
R155621,30,12,12,1,4,R67,Medicinal Chemistry and Pharmaceutics,Cyclodextrin complexes to enhance drug solubilty or bioavailabilty;Ocular drug delivery;Nasal drug delivery;Pulmonary drug delivery
R162574,21,12,24,1,21,R145261,Natural Language Processing,gene name finding;gene name normalization;concept-recognition;text retrieval;Gene/Protein NER;Species/Organism NER;Gene/Protein Normalization;Protein-Protein Interaction Passage Identification;Gene Interaction Passage Identification;Protein-protein Evidence Passage Identification;Visual Tool Building;chemical-disease relation (CDR) extraction;disease named entity recognition (DNER);chemical-induced disease (CID) relation extraction;automatically constructing causal biological networks from text;utility and usability of Text Mining tools;text-mining services for kinome curation;automatic extraction of complex Biological expression language relationships;retrieving and extracting precision medicine-relevant information from PubMed articles;chemical compound named entity recognition;multi-label topic classification
R162575,21,12,24,1,21,R145261,Natural Language Processing,gene name finding;gene name normalization;concept-recognition;text retrieval;Gene/Protein NER;Species/Organism NER;Gene/Protein Normalization;Protein-Protein Interaction Passage Identification;Gene Interaction Passage Identification;Protein-protein Evidence Passage Identification;Visual Tool Building;chemical-disease relation (CDR) extraction;disease named entity recognition (DNER);chemical-induced disease (CID) relation extraction;automatically constructing causal biological networks from text;utility and usability of Text Mining tools;text-mining services for kinome curation;automatic extraction of complex Biological expression language relationships;retrieving and extracting precision medicine-relevant information from PubMed articles;chemical compound named entity recognition;multi-label topic classification
R204130,14,12,8,1,1,R112117,Cryptography and Security,Software-Defined Networking Security 
R209290,14,12,19,1,0,R231,Computer and Systems Architecture,
